Date,Transaction ID,Description,Debit Amount,Credit Amount,Balance,Transaction Type
02-01-2026,TXN1001,Salary Credit,,5925,55925,Credit
03-01-2026,TXN1002,Cash Deposit,4844,,51081,Debit
04-01-2026,TXN1003,Electricity Bill,1359,,49722,Debit
05-01-2026,TXN1004,Online Purchase,1185,,48537,Debit
06-01-2026,TXN1005,Online Purchase,342,,48195,Debit
07-01-2026,TXN1006,Mobile Recharge,,2260,50455,Credit
08-01-2026,TXN1007,Shopping,3794,,46661,Debit
09-01-2026,TXN1008,Electricity Bill,2036,,44625,Debit
10-01-2026,TXN1009,ATM Withdrawal,2072,,42553,Debit
11-01-2026,TXN1010,Online Purchase,,1557,44110,Credit
12-01-2026,TXN1011,ATM Withdrawal,,8551,52661,Credit
13-01-2026,TXN1012,Salary Credit,3653,,49008,Debit
14-01-2026,TXN1013,Cash Deposit,,4488,53496,Credit
15-01-2026,TXN1014,Salary Credit,2568,,50928,Debit
16-01-2026,TXN1015,Electricity Bill,,6391,57319,Credit
17-01-2026,TXN1016,ATM Withdrawal,4809,,52510,Debit
18-01-2026,TXN1017,Online Purchase,,2785,55295,Credit
19-01-2026,TXN1018,Mobile Recharge,,1342,56637,Credit
20-01-2026,TXN1019,Electricity Bill,,6197,62834,Credit
21-01-2026,TXN1020,Salary Credit,2696,,60138,Debit
22-01-2026,TXN1021,Cash Deposit,3080,,57058,Debit
23-01-2026,TXN1022,Restaurant Payment,3510,,53548,Debit
24-01-2026,TXN1023,Restaurant Payment,2419,,51129,Debit
25-01-2026,TXN1024,UPI Transfer,,9136,60265,Credit
26-01-2026,TXN1025,Cash Deposit,4345,,55920,Debit
27-01-2026,TXN1026,Restaurant Payment,3600,,52320,Debit
28-01-2026,TXN1027,Salary Credit,4895,,47425,Debit
29-01-2026,TXN1028,Electricity Bill,,1291,48716,Credit
30-01-2026,TXN1029,UPI Transfer,230,,48486,Debit
31-01-2026,TXN1030,Online Purchase,,6889,55375,Credit
01-02-2026,TXN1031,Shopping,823,,54552,Debit
02-02-2026,TXN1032,Cash Deposit,,3380,57932,Credit
03-02-2026,TXN1033,Online Purchase,,8059,65991,Credit
04-02-2026,TXN1034,Restaurant Payment,4240,,61751,Debit
05-02-2026,TXN1035,Electricity Bill,3556,,58195,Debit
